
TITLE                 AUTHOR                       LICENSE TYPE                               URL



zero.png             clker.com                    Public Domain            http://www.clker.com/clipart-number-animal-zero-2.html  

one1.png            THEMEXPOSE                    Public Domain            http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

two2.png            THEMEXPOSE 		          Public Domain	           http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

three3.png          THEMEXPOSE 		          Public Domain		   http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

four4.png           THEMEXPOSE 		          Public Domain		   http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

five5.png           THEMEXPOSE 		          Public Domain	           http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

six6.png            THEMEXPOSE 		          Public Domain	           http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

seven7.png          THEMEXPOSE 		          Public Domain	           http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

eight8.png          THEMEXPOSE 		          Public Domain		   http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

nine9.png           THEMEXPOSE 		          Public Domain	           http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

ten10.png           THEMEXPOSE 		          Public Domain		   http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

zero0.png           THEMEXPOSE                    Public Domain            http://clipartclub.blogspot.com.au/2015/06/numbers-cliparts.html#.VywP1TB97IV

sea.png        My First Storybook by 
                 NH3238@k12.sd.us                 Public Domain            https://www.mystorybook.com/books/87553

adding.png          EZwpthemes                    Public Domain            http://matelemental.blogspot.com.au/2012_06_01_archive.html

subtracting.png     EZwpthemes                    Public Domain            http://matelemental.blogspot.com.au/2012_06_01_archive.html

sub.png               Helder                      Public Domain            https://commons.wikimedia.org/wiki/File:Sinal_de_menos.svg  

twinkle.ogg        John Casale                    Public Domain 
                                                                           https://commons.wikimedia.org/wiki/File:Twinkle_Twinkle_Little_Star.ogg sound file

adding.png          EZwpthemes                    Public Domain            http://matelemental.blogspot.com.au/2012_06_01_archive.html

subtracting.png     EZwpthemes                    Public Domain            http://matelemental.blogspot.com.au/2012_06_01_archive.html

 
 
one.png        OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-numbers-numerals-one-149951/  

two.png        OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-numbers-numerals-two-149952/  

three.png      OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-numbers-numerals-149953/

four.png       OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-five-math-numbers-149954/

five.png       OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-five-math-numbers-149955/

six.png        OpenClipartVectors/23291 images   CC0 Public Domain         https://pixabay.com/en/counting-math-numbers-numerals-six-149956/

